Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Espeu Ewen,0437083,St Avertin,CO S1H,10,9,9,9,9,9,X,X,X,X,10,10,X,X,10,9,9,9,X,X,X,10,9,9,X,X,X,X,10,10,X,X,10,10,9,9
Espeu Ewen,0437083,St Avertin,CO S1H,X,X,10,10,9,9,X,10,10,10,9,9,X,10,10,10,10,9,X,10,10,10,10,9,X,10,9,9,9,9,10,10,10,9,8,8
Thieffine Julien,0892199,Suresnes,CO S2H,X,10,10,9,9,9,10,10,10,9,9,9,X,10,10,9,9,8,X,10,10,10,9,9,X,X,10,9,9,9,X,X,10,10,9,9
Thieffine Julien,0892199,Suresnes,CO S2H,X,X,X,10,9,9,X,10,10,10,9,9,X,X,10,10,9,7,X,10,10,10,9,9,X,X,X,10,9,9,X,10,10,10,9,9
Bourgeois Aymeric,0759129,Valenciennes,CO S1H,10,10,9,9,9,8,X,X,10,9,9,8,X,10,10,9,8,8,10,10,10,10,9,7,X,10,10,9,9,8,10,10,10,9,9,9
Bourgeois Aymeric,0759129,Valenciennes,CO S1H,10,10,9,9,8,6,10,9,9,9,9,8,10,9,9,9,8,8,X,10,10,9,9,9,10,10,9,9,9,8,10,9,9,9,9,8
Junker Alexandre,0895293,Sarcelles,CO S1H,10,10,9,9,9,8,X,10,10,10,10,9,X,X,10,10,9,9,X,10,10,10,10,9,X,X,10,10,9,9,10,10,9,9,9,9
Junker Alexandre,0895293,Sarcelles,CO S1H,X,X,10,10,10,9,X,X,10,9,9,9,X,10,10,10,9,9,X,X,X,X,10,10,X,X,X,X,10,10,X,10,10,9,9,9
Loussaut Jeremie,0892199,Suresnes,CO S1H,X,10,10,10,10,9,X,X,10,10,9,9,X,X,10,10,9,8,10,10,10,10,9,9,X,X,X,10,10,9,X,10,10,9,9,9
Loussaut Jeremie,0892199,Suresnes,CO S1H,10,10,10,10,10,9,X,X,X,10,9,8,10,10,10,10,9,9,X,10,9,9,9,9,X,X,X,10,10,9,X,X,X,10,10,9
Robert Thibault,0759129,Valenciennes,CO S1H,X,X,10,10,9,7,10,10,9,9,8,6,X,10,9,9,9,9,10,9,9,9,9,8,X,9,9,9,9,8,X,9,9,8,8,8
Robert Thibault,0759129,Valenciennes,CO S1H,X,X,10,9,9,8,X,X,X,9,8,7,X,10,9,9,8,8,9,9,9,9,8,8,10,8,8,8,8,7,10,10,10,9,9,9
Henninot Guillaume,0895293,Sarcelles,CO S1H,10,10,10,9,9,7,X,10,10,9,9,8,X,10,10,10,10,9,X,10,10,9,9,9,X,9,9,9,9,9,X,X,X,10,9,9
Henninot Guillaume,0895293,Sarcelles,CO S1H,10,10,9,9,7,M,X,X,X,10,9,8,10,10,10,9,8,8,X,10,9,9,9,9,X,10,10,10,9,9,X,X,X,9,9,9
Gerard Paul,0892199,Suresnes,CO S2H,X,10,10,10,10,9,10,10,10,9,9,9,10,10,9,9,9,9,X,10,10,10,10,10,X,10,10,10,10,9,X,10,10,9,9,8
Gerard Paul,0892199,Suresnes,CO S2H,10,10,9,9,9,8,X,X,10,10,9,9,X,10,10,10,9,9,10,10,10,9,9,9,X,10,10,10,9,9,X,X,X,10,9,9
Loire Guillaume,0759129,Valenciennes,CO S2H,X,10,10,10,9,9,X,X,10,10,9,8,X,10,10,9,9,8,X,X,10,9,9,9,10,10,10,10,9,9,X,X,10,9,9,8
Loire Guillaume,0759129,Valenciennes,CO S2H,X,X,X,9,9,9,X,X,10,10,9,9,X,X,X,10,9,9,X,X,10,10,10,9,X,X,X,10,9,9,X,X,9,9,9,8
Lemoine Frederic,0759101,Villeneuve D'ascq,CO S2H,10,10,10,9,8,8,10,9,9,8,8,7,10,9,9,9,8,8,X,10,10,9,8,8,X,10,10,10,9,8,X,X,10,10,10,7
Lemoine Frederic,0759101,Villeneuve D'ascq,CO S2H,X,10,9,9,8,8,X,10,9,8,6,M,10,9,9,9,9,8,10,X,9,9,9,8,10,9,9,9,9,8,X,X,10,9,9,7
Morineau Lois,0169188,Lyon 8Eme,CO U21H,10,9,9,9,9,8,10,10,10,9,9,8,10,9,9,8,7,9,10,10,10,9,9,7,X,X,10,10,9,9,10,10,9,9,9,8
Morineau Lois,0169188,Lyon 8Eme,CO U21H,10,9,9,8,8,8,X,10,9,9,8,8,X,10,10,8,8,7,X,10,9,9,8,8,10,9,9,9,8,8,X,X,10,9,8,8
Duhez Philippe,0759129,Valenciennes,CO S2H,X,10,10,10,9,9,X,10,10,9,9,9,X,10,10,10,9,9,X,10,10,10,9,9,10,10,10,10,10,9,X,X,10,10,10,9
Duhez Philippe,0759129,Valenciennes,CO S2H,X,10,10,10,10,9,X,10,10,10,9,9,10,10,10,9,9,9,X,X,X,X,10,8,X,10,9,9,9,9,X,X,X,10,9,9
Lienard Sebastien,0759101,Villeneuve D'ascq,CO S2H,X,X,10,10,9,9,X,X,10,10,9,9,X,X,X,10,9,9,X,X,10,10,9,9,10,10,10,9,9,9,10,9,8,7,7,7
Lienard Sebastien,0759101,Villeneuve D'ascq,CO S2H,X,10,10,9,9,9,10,10,10,10,10,9,X,9,9,9,9,8,10,9,9,9,8,8,X,X,10,10,10,9,10,10,10,9,9,8
Robert Mathieu,0169188,Lyon 8Eme,CO S1H,X,X,10,10,8,6,X,X,10,9,9,9,X,X,10,9,9,9,X,X,X,10,10,9,X,10,9,9,9,9,X,X,9,9,9,9
Robert Mathieu,0169188,Lyon 8Eme,CO S1H,X,10,10,9,9,7,10,10,10,10,10,10,X,10,10,9,9,9,X,10,10,10,9,9,X,10,10,9,9,9,10,10,9,8,8,8
Weyant Sebastien,0895293,Sarcelles,CO S2H,10,9,9,9,8,8,10,10,9,9,9,7,X,10,10,10,10,9,X,10,10,9,9,8,10,9,9,9,9,9,10,10,10,9,9,9
Weyant Sebastien,0895293,Sarcelles,CO S2H,X,10,10,10,8,8,X,X,10,9,9,8,X,10,10,9,9,7,10,10,10,10,9,9,10,9,9,9,8,8,X,10,9,9,8,8
Lallemant Julien,0759101,Villeneuve D'ascq,CO S1H,10,10,9,9,9,8,X,10,9,9,9,8,X,10,9,9,9,9,10,10,9,9,9,8,X,X,9,9,9,9,10,10,9,9,9,9
Lallemant Julien,0759101,Villeneuve D'ascq,CO S1H,X,X,X,10,10,9,X,X,10,9,9,9,X,10,10,10,9,9,X,10,9,9,9,8,X,X,X,10,9,9,X,10,10,10,10,9
Payet Stephane,0169188,Lyon 8Eme,CO S2H,X,X,9,9,9,9,X,X,10,9,9,9,X,X,X,10,10,9,10,9,9,9,9,8,X,10,10,9,9,9,X,X,10,9,8,8
